# Unicode Emoji 17.0 机器可读版
# 生成日期: 2026-02-13
# 数据源: emoji-test.txt (官方17.0)
# 字段: 字符	码位序列	状态	版本	名称
# 行数: 包含 fully/minimally/unqualified/component，完全未过滤
🏄🏿	1F3C4 1F3FF	fully-qualified	E1.0	person surfing: dark skin tone
🏄‍♂️	1F3C4 200D 2642 FE0F	fully-qualified	E4.0	man surfing
🏄‍♂	1F3C4 200D 2642	minimally-qualified	E4.0	man surfing
🏄🏻‍♂️	1F3C4 1F3FB 200D 2642 FE0F	fully-qualified	E4.0	man surfing: light skin tone
🏄🏻‍♂	1F3C4 1F3FB 200D 2642	minimally-qualified	E4.0	man surfing: light skin tone
🏄🏼‍♂️	1F3C4 1F3FC 200D 2642 FE0F	fully-qualified	E4.0	man surfing: medium-light skin tone
🏄🏼‍♂	1F3C4 1F3FC 200D 2642	minimally-qualified	E4.0	man surfing: medium-light skin tone
🏄🏽‍♂️	1F3C4 1F3FD 200D 2642 FE0F	fully-qualified	E4.0	man surfing: medium skin tone
🏄🏽‍♂	1F3C4 1F3FD 200D 2642	minimally-qualified	E4.0	man surfing: medium skin tone
🏄🏾‍♂️	1F3C4 1F3FE 200D 2642 FE0F	fully-qualified	E4.0	man surfing: medium-dark skin tone
🏄🏾‍♂	1F3C4 1F3FE 200D 2642	minimally-qualified	E4.0	man surfing: medium-dark skin tone
🏄🏿‍♂️	1F3C4 1F3FF 200D 2642 FE0F	fully-qualified	E4.0	man surfing: dark skin tone
🏄🏿‍♂	1F3C4 1F3FF 200D 2642	minimally-qualified	E4.0	man surfing: dark skin tone
🏄‍♀️	1F3C4 200D 2640 FE0F	fully-qualified	E4.0	woman surfing
🏄‍♀	1F3C4 200D 2640	minimally-qualified	E4.0	woman surfing
🏄🏻‍♀️	1F3C4 1F3FB 200D 2640 FE0F	fully-qualified	E4.0	woman surfing: light skin tone
🏄🏻‍♀	1F3C4 1F3FB 200D 2640	minimally-qualified	E4.0	woman surfing: light skin tone
🏄🏼‍♀️	1F3C4 1F3FC 200D 2640 FE0F	fully-qualified	E4.0	woman surfing: medium-light skin tone
🏄🏼‍♀	1F3C4 1F3FC 200D 2640	minimally-qualified	E4.0	woman surfing: medium-light skin tone
🏄🏽‍♀️	1F3C4 1F3FD 200D 2640 FE0F	fully-qualified	E4.0	woman surfing: medium skin tone
🏄🏽‍♀	1F3C4 1F3FD 200D 2640	minimally-qualified	E4.0	woman surfing: medium skin tone
🏄🏾‍♀️	1F3C4 1F3FE 200D 2640 FE0F	fully-qualified	E4.0	woman surfing: medium-dark skin tone
🏄🏾‍♀	1F3C4 1F3FE 200D 2640	minimally-qualified	E4.0	woman surfing: medium-dark skin tone
🏄🏿‍♀️	1F3C4 1F3FF 200D 2640 FE0F	fully-qualified	E4.0	woman surfing: dark skin tone
🏄🏿‍♀	1F3C4 1F3FF 200D 2640	minimally-qualified	E4.0	woman surfing: dark skin tone
🚣	1F6A3	fully-qualified	E1.0	person rowing boat
🚣🏻	1F6A3 1F3FB	fully-qualified	E1.0	person rowing boat: light skin tone
🚣🏼	1F6A3 1F3FC	fully-qualified	E1.0	person rowing boat: medium-light skin tone
🚣🏽	1F6A3 1F3FD	fully-qualified	E1.0	person rowing boat: medium skin tone
🚣🏾	1F6A3 1F3FE	fully-qualified	E1.0	person rowing boat: medium-dark skin tone
🚣🏿	1F6A3 1F3FF	fully-qualified	E1.0	person rowing boat: dark skin tone
🚣‍♂️	1F6A3 200D 2642 FE0F	fully-qualified	E4.0	man rowing boat
🚣‍♂	1F6A3 200D 2642	minimally-qualified	E4.0	man rowing boat
🚣🏻‍♂️	1F6A3 1F3FB 200D 2642 FE0F	fully-qualified	E4.0	man rowing boat: light skin tone
🚣🏻‍♂	1F6A3 1F3FB 200D 2642	minimally-qualified	E4.0	man rowing boat: light skin tone
🚣🏼‍♂️	1F6A3 1F3FC 200D 2642 FE0F	fully-qualified	E4.0	man rowing boat: medium-light skin tone
🚣🏼‍♂	1F6A3 1F3FC 200D 2642	minimally-qualified	E4.0	man rowing boat: medium-light skin tone
🚣🏽‍♂️	1F6A3 1F3FD 200D 2642 FE0F	fully-qualified	E4.0	man rowing boat: medium skin tone
🚣🏽‍♂	1F6A3 1F3FD 200D 2642	minimally-qualified	E4.0	man rowing boat: medium skin tone
🚣🏾‍♂️	1F6A3 1F3FE 200D 2642 FE0F	fully-qualified	E4.0	man rowing boat: medium-dark skin tone
🚣🏾‍♂	1F6A3 1F3FE 200D 2642	minimally-qualified	E4.0	man rowing boat: medium-dark skin tone
🚣🏿‍♂️	1F6A3 1F3FF 200D 2642 FE0F	fully-qualified	E4.0	man rowing boat: dark skin tone
🚣🏿‍♂	1F6A3 1F3FF 200D 2642	minimally-qualified	E4.0	man rowing boat: dark skin tone
🚣‍♀️	1F6A3 200D 2640 FE0F	fully-qualified	E4.0	woman rowing boat
🚣‍♀	1F6A3 200D 2640	minimally-qualified	E4.0	woman rowing boat
🚣🏻‍♀️	1F6A3 1F3FB 200D 2640 FE0F	fully-qualified	E4.0	woman rowing boat: light skin tone
🚣🏻‍♀	1F6A3 1F3FB 200D 2640	minimally-qualified	E4.0	woman rowing boat: light skin tone
🚣🏼‍♀️	1F6A3 1F3FC 200D 2640 FE0F	fully-qualified	E4.0	woman rowing boat: medium-light skin tone
🚣🏼‍♀	1F6A3 1F3FC 200D 2640	minimally-qualified	E4.0	woman rowing boat: medium-light skin tone
🚣🏽‍♀️	1F6A3 1F3FD 200D 2640 FE0F	fully-qualified	E4.0	woman rowing boat: medium skin tone
🚣🏽‍♀	1F6A3 1F3FD 200D 2640	minimally-qualified	E4.0	woman rowing boat: medium skin tone
🚣🏾‍♀️	1F6A3 1F3FE 200D 2640 FE0F	fully-qualified	E4.0	woman rowing boat: medium-dark skin tone
🚣🏾‍♀	1F6A3 1F3FE 200D 2640	minimally-qualified	E4.0	woman rowing boat: medium-dark skin tone
🚣🏿‍♀️	1F6A3 1F3FF 200D 2640 FE0F	fully-qualified	E4.0	woman rowing boat: dark skin tone
🚣🏿‍♀	1F6A3 1F3FF 200D 2640	minimally-qualified	E4.0	woman rowing boat: dark skin tone
🏊	1F3CA	fully-qualified	E0.6	person swimming
🏊🏻	1F3CA 1F3FB	fully-qualified	E1.0	person swimming: light skin tone
🏊🏼	1F3CA 1F3FC	fully-qualified	E1.0	person swimming: medium-light skin tone
🏊🏽	1F3CA 1F3FD	fully-qualified	E1.0	person swimming: medium skin tone
🏊🏾	1F3CA 1F3FE	fully-qualified	E1.0	person swimming: medium-dark skin tone
🏊🏿	1F3CA 1F3FF	fully-qualified	E1.0	person swimming: dark skin tone
🏊‍♂️	1F3CA 200D 2642 FE0F	fully-qualified	E4.0	man swimming
🏊‍♂	1F3CA 200D 2642	minimally-qualified	E4.0	man swimming
🏊🏻‍♂️	1F3CA 1F3FB 200D 2642 FE0F	fully-qualified	E4.0	man swimming: light skin tone
🏊🏻‍♂	1F3CA 1F3FB 200D 2642	minimally-qualified	E4.0	man swimming: light skin tone
🏊🏼‍♂️	1F3CA 1F3FC 200D 2642 FE0F	fully-qualified	E4.0	man swimming: medium-light skin tone
🏊🏼‍♂	1F3CA 1F3FC 200D 2642	minimally-qualified	E4.0	man swimming: medium-light skin tone
🏊🏽‍♂️	1F3CA 1F3FD 200D 2642 FE0F	fully-qualified	E4.0	man swimming: medium skin tone
🏊🏽‍♂	1F3CA 1F3FD 200D 2642	minimally-qualified	E4.0	man swimming: medium skin tone
🏊🏾‍♂️	1F3CA 1F3FE 200D 2642 FE0F	fully-qualified	E4.0	man swimming: medium-dark skin tone
🏊🏾‍♂	1F3CA 1F3FE 200D 2642	minimally-qualified	E4.0	man swimming: medium-dark skin tone
🏊🏿‍♂️	1F3CA 1F3FF 200D 2642 FE0F	fully-qualified	E4.0	man swimming: dark skin tone
🏊🏿‍♂	1F3CA 1F3FF 200D 2642	minimally-qualified	E4.0	man swimming: dark skin tone
🏊‍♀️	1F3CA 200D 2640 FE0F	fully-qualified	E4.0	woman swimming
🏊‍♀	1F3CA 200D 2640	minimally-qualified	E4.0	woman swimming
🏊🏻‍♀️	1F3CA 1F3FB 200D 2640 FE0F	fully-qualified	E4.0	woman swimming: light skin tone
🏊🏻‍♀	1F3CA 1F3FB 200D 2640	minimally-qualified	E4.0	woman swimming: light skin tone
🏊🏼‍♀️	1F3CA 1F3FC 200D 2640 FE0F	fully-qualified	E4.0	woman swimming: medium-light skin tone
🏊🏼‍♀	1F3CA 1F3FC 200D 2640	minimally-qualified	E4.0	woman swimming: medium-light skin tone
🏊🏽‍♀️	1F3CA 1F3FD 200D 2640 FE0F	fully-qualified	E4.0	woman swimming: medium skin tone
🏊🏽‍♀	1F3CA 1F3FD 200D 2640	minimally-qualified	E4.0	woman swimming: medium skin tone
🏊🏾‍♀️	1F3CA 1F3FE 200D 2640 FE0F	fully-qualified	E4.0	woman swimming: medium-dark skin tone
🏊🏾‍♀	1F3CA 1F3FE 200D 2640	minimally-qualified	E4.0	woman swimming: medium-dark skin tone
🏊🏿‍♀️	1F3CA 1F3FF 200D 2640 FE0F	fully-qualified	E4.0	woman swimming: dark skin tone
🏊🏿‍♀	1F3CA 1F3FF 200D 2640	minimally-qualified	E4.0	woman swimming: dark skin tone
⛹️	26F9 FE0F	fully-qualified	E0.7	person bouncing ball
⛹	26F9	unqualified	E0.7	person bouncing ball
⛹🏻	26F9 1F3FB	fully-qualified	E2.0	person bouncing ball: light skin tone
⛹🏼	26F9 1F3FC	fully-qualified	E2.0	person bouncing ball: medium-light skin tone
⛹🏽	26F9 1F3FD	fully-qualified	E2.0	person bouncing ball: medium skin tone
⛹🏾	26F9 1F3FE	fully-qualified	E2.0	person bouncing ball: medium-dark skin tone
⛹🏿	26F9 1F3FF	fully-qualified	E2.0	person bouncing ball: dark skin tone
⛹️‍♂️	26F9 FE0F 200D 2642 FE0F	fully-qualified	E4.0	man bouncing ball
⛹‍♂️	26F9 200D 2642 FE0F	unqualified	E4.0	man bouncing ball
⛹️‍♂	26F9 FE0F 200D 2642	minimally-qualified	E4.0	man bouncing ball
⛹‍♂	26F9 200D 2642	unqualified	E4.0	man bouncing ball
⛹🏻‍♂️	26F9 1F3FB 200D 2642 FE0F	fully-qualified	E4.0	man bouncing ball: light skin tone
⛹🏻‍♂	26F9 1F3FB 200D 2642	minimally-qualified	E4.0	man bouncing ball: light skin tone
⛹🏼‍♂️	26F9 1F3FC 200D 2642 FE0F	fully-qualified	E4.0	man bouncing ball: medium-light skin tone
⛹🏼‍♂	26F9 1F3FC 200D 2642	minimally-qualified	E4.0	man bouncing ball: medium-light skin tone
⛹🏽‍♂️	26F9 1F3FD 200D 2642 FE0F	fully-qualified	E4.0	man bouncing ball: medium skin tone
⛹🏽‍♂	26F9 1F3FD 200D 2642	minimally-qualified	E4.0	man bouncing ball: medium skin tone
⛹🏾‍♂️	26F9 1F3FE 200D 2642 FE0F	fully-qualified	E4.0	man bouncing ball: medium-dark skin tone
⛹🏾‍♂	26F9 1F3FE 200D 2642	minimally-qualified	E4.0	man bouncing ball: medium-dark skin tone
⛹🏿‍♂️	26F9 1F3FF 200D 2642 FE0F	fully-qualified	E4.0	man bouncing ball: dark skin tone
⛹🏿‍♂	26F9 1F3FF 200D 2642	minimally-qualified	E4.0	man bouncing ball: dark skin tone
⛹️‍♀️	26F9 FE0F 200D 2640 FE0F	fully-qualified	E4.0	woman bouncing ball
⛹‍♀️	26F9 200D 2640 FE0F	unqualified	E4.0	woman bouncing ball
⛹️‍♀	26F9 FE0F 200D 2640	minimally-qualified	E4.0	woman bouncing ball
⛹‍♀	26F9 200D 2640	unqualified	E4.0	woman bouncing ball
⛹🏻‍♀️	26F9 1F3FB 200D 2640 FE0F	fully-qualified	E4.0	woman bouncing ball: light skin tone
⛹🏻‍♀	26F9 1F3FB 200D 2640	minimally-qualified	E4.0	woman bouncing ball: light skin tone
⛹🏼‍♀️	26F9 1F3FC 200D 2640 FE0F	fully-qualified	E4.0	woman bouncing ball: medium-light skin tone
⛹🏼‍♀	26F9 1F3FC 200D 2640	minimally-qualified	E4.0	woman bouncing ball: medium-light skin tone
⛹🏽‍♀️	26F9 1F3FD 200D 2640 FE0F	fully-qualified	E4.0	woman bouncing ball: medium skin tone
⛹🏽‍♀	26F9 1F3FD 200D 2640	minimally-qualified	E4.0	woman bouncing ball: medium skin tone
⛹🏾‍♀️	26F9 1F3FE 200D 2640 FE0F	fully-qualified	E4.0	woman bouncing ball: medium-dark skin tone
⛹🏾‍♀	26F9 1F3FE 200D 2640	minimally-qualified	E4.0	woman bouncing ball: medium-dark skin tone
⛹🏿‍♀️	26F9 1F3FF 200D 2640 FE0F	fully-qualified	E4.0	woman bouncing ball: dark skin tone
⛹🏿‍♀	26F9 1F3FF 200D 2640	minimally-qualified	E4.0	woman bouncing ball: dark skin tone
🏋️	1F3CB FE0F	fully-qualified	E0.7	person lifting weights
🏋	1F3CB	unqualified	E0.7	person lifting weights
🏋🏻	1F3CB 1F3FB	fully-qualified	E2.0	person lifting weights: light skin tone
🏋🏼	1F3CB 1F3FC	fully-qualified	E2.0	person lifting weights: medium-light skin tone
🏋🏽	1F3CB 1F3FD	fully-qualified	E2.0	person lifting weights: medium skin tone
🏋🏾	1F3CB 1F3FE	fully-qualified	E2.0	person lifting weights: medium-dark skin tone
🏋🏿	1F3CB 1F3FF	fully-qualified	E2.0	person lifting weights: dark skin tone
🏋️‍♂️	1F3CB FE0F 200D 2642 FE0F	fully-qualified	E4.0	man lifting weights
🏋‍♂️	1F3CB 200D 2642 FE0F	unqualified	E4.0	man lifting weights
🏋️‍♂	1F3CB FE0F 200D 2642	minimally-qualified	E4.0	man lifting weights
🏋‍♂	1F3CB 200D 2642	unqualified	E4.0	man lifting weights
🏋🏻‍♂️	1F3CB 1F3FB 200D 2642 FE0F	fully-qualified	E4.0	man lifting weights: light skin tone
🏋🏻‍♂	1F3CB 1F3FB 200D 2642	minimally-qualified	E4.0	man lifting weights: light skin tone
🏋🏼‍♂️	1F3CB 1F3FC 200D 2642 FE0F	fully-qualified	E4.0	man lifting weights: medium-light skin tone
🏋🏼‍♂	1F3CB 1F3FC 200D 2642	minimally-qualified	E4.0	man lifting weights: medium-light skin tone
🏋🏽‍♂️	1F3CB 1F3FD 200D 2642 FE0F	fully-qualified	E4.0	man lifting weights: medium skin tone
🏋🏽‍♂	1F3CB 1F3FD 200D 2642	minimally-qualified	E4.0	man lifting weights: medium skin tone
🏋🏾‍♂️	1F3CB 1F3FE 200D 2642 FE0F	fully-qualified	E4.0	man lifting weights: medium-dark skin tone
🏋🏾‍♂	1F3CB 1F3FE 200D 2642	minimally-qualified	E4.0	man lifting weights: medium-dark skin tone
🏋🏿‍♂️	1F3CB 1F3FF 200D 2642 FE0F	fully-qualified	E4.0	man lifting weights: dark skin tone
🏋🏿‍♂	1F3CB 1F3FF 200D 2642	minimally-qualified	E4.0	man lifting weights: dark skin tone
🏋️‍♀️	1F3CB FE0F 200D 2640 FE0F	fully-qualified	E4.0	woman lifting weights
🏋‍♀️	1F3CB 200D 2640 FE0F	unqualified	E4.0	woman lifting weights
🏋️‍♀	1F3CB FE0F 200D 2640	minimally-qualified	E4.0	woman lifting weights
🏋‍♀	1F3CB 200D 2640	unqualified	E4.0	woman lifting weights
🏋🏻‍♀️	1F3CB 1F3FB 200D 2640 FE0F	fully-qualified	E4.0	woman lifting weights: light skin tone
🏋🏻‍♀	1F3CB 1F3FB 200D 2640	minimally-qualified	E4.0	woman lifting weights: light skin tone
🏋🏼‍♀️	1F3CB 1F3FC 200D 2640 FE0F	fully-qualified	E4.0	woman lifting weights: medium-light skin tone
🏋🏼‍♀	1F3CB 1F3FC 200D 2640	minimally-qualified	E4.0	woman lifting weights: medium-light skin tone
🏋🏽‍♀️	1F3CB 1F3FD 200D 2640 FE0F	fully-qualified	E4.0	woman lifting weights: medium skin tone
🏋🏽‍♀	1F3CB 1F3FD 200D 2640	minimally-qualified	E4.0	woman lifting weights: medium skin tone
🏋🏾‍♀️	1F3CB 1F3FE 200D 2640 FE0F	fully-qualified	E4.0	woman lifting weights: medium-dark skin tone
🏋🏾‍♀	1F3CB 1F3FE 200D 2640	minimally-qualified	E4.0	woman lifting weights: medium-dark skin tone
🏋🏿‍♀️	1F3CB 1F3FF 200D 2640 FE0F	fully-qualified	E4.0	woman lifting weights: dark skin tone
🏋🏿‍♀	1F3CB 1F3FF 200D 2640	minimally-qualified	E4.0	woman lifting weights: dark skin tone
🚴	1F6B4	fully-qualified	E1.0	person biking
🚴🏻	1F6B4 1F3FB	fully-qualified	E1.0	person biking: light skin tone
🚴🏼	1F6B4 1F3FC	fully-qualified	E1.0	person biking: medium-light skin tone
🚴🏽	1F6B4 1F3FD	fully-qualified	E1.0	person biking: medium skin tone
🚴🏾	1F6B4 1F3FE	fully-qualified	E1.0	person biking: medium-dark skin tone
🚴🏿	1F6B4 1F3FF	fully-qualified	E1.0	person biking: dark skin tone
🚴‍♂️	1F6B4 200D 2642 FE0F	fully-qualified	E4.0	man biking
🚴‍♂	1F6B4 200D 2642	minimally-qualified	E4.0	man biking
🚴🏻‍♂️	1F6B4 1F3FB 200D 2642 FE0F	fully-qualified	E4.0	man biking: light skin tone
🚴🏻‍♂	1F6B4 1F3FB 200D 2642	minimally-qualified	E4.0	man biking: light skin tone
🚴🏼‍♂️	1F6B4 1F3FC 200D 2642 FE0F	fully-qualified	E4.0	man biking: medium-light skin tone
🚴🏼‍♂	1F6B4 1F3FC 200D 2642	minimally-qualified	E4.0	man biking: medium-light skin tone
🚴🏽‍♂️	1F6B4 1F3FD 200D 2642 FE0F	fully-qualified	E4.0	man biking: medium skin tone
🚴🏽‍♂	1F6B4 1F3FD 200D 2642	minimally-qualified	E4.0	man biking: medium skin tone
🚴🏾‍♂️	1F6B4 1F3FE 200D 2642 FE0F	fully-qualified	E4.0	man biking: medium-dark skin tone
🚴🏾‍♂	1F6B4 1F3FE 200D 2642	minimally-qualified	E4.0	man biking: medium-dark skin tone
🚴🏿‍♂️	1F6B4 1F3FF 200D 2642 FE0F	fully-qualified	E4.0	man biking: dark skin tone
🚴🏿‍♂	1F6B4 1F3FF 200D 2642	minimally-qualified	E4.0	man biking: dark skin tone
🚴‍♀️	1F6B4 200D 2640 FE0F	fully-qualified	E4.0	woman biking
🚴‍♀	1F6B4 200D 2640	minimally-qualified	E4.0	woman biking
🚴🏻‍♀️	1F6B4 1F3FB 200D 2640 FE0F	fully-qualified	E4.0	woman biking: light skin tone
🚴🏻‍♀	1F6B4 1F3FB 200D 2640	minimally-qualified	E4.0	woman biking: light skin tone
🚴🏼‍♀️	1F6B4 1F3FC 200D 2640 FE0F	fully-qualified	E4.0	woman biking: medium-light skin tone
🚴🏼‍♀	1F6B4 1F3FC 200D 2640	minimally-qualified	E4.0	woman biking: medium-light skin tone
🚴🏽‍♀️	1F6B4 1F3FD 200D 2640 FE0F	fully-qualified	E4.0	woman biking: medium skin tone
🚴🏽‍♀	1F6B4 1F3FD 200D 2640	minimally-qualified	E4.0	woman biking: medium skin tone
🚴🏾‍♀️	1F6B4 1F3FE 200D 2640 FE0F	fully-qualified	E4.0	woman biking: medium-dark skin tone
🚴🏾‍♀	1F6B4 1F3FE 200D 2640	minimally-qualified	E4.0	woman biking: medium-dark skin tone
🚴🏿‍♀️	1F6B4 1F3FF 200D 2640 FE0F	fully-qualified	E4.0	woman biking: dark skin tone
🚴🏿‍♀	1F6B4 1F3FF 200D 2640	minimally-qualified	E4.0	woman biking: dark skin tone
🚵	1F6B5	fully-qualified	E1.0	person mountain biking
🚵🏻	1F6B5 1F3FB	fully-qualified	E1.0	person mountain biking: light skin tone
🚵🏼	1F6B5 1F3FC	fully-qualified	E1.0	person mountain biking: medium-light skin tone
🚵🏽	1F6B5 1F3FD	fully-qualified	E1.0	person mountain biking: medium skin tone
🚵🏾	1F6B5 1F3FE	fully-qualified	E1.0	person mountain biking: medium-dark skin tone
🚵🏿	1F6B5 1F3FF	fully-qualified	E1.0	person mountain biking: dark skin tone
🚵‍♂️	1F6B5 200D 2642 FE0F	fully-qualified	E4.0	man mountain biking
🚵‍♂	1F6B5 200D 2642	minimally-qualified	E4.0	man mountain biking
🚵🏻‍♂️	1F6B5 1F3FB 200D 2642 FE0F	fully-qualified	E4.0	man mountain biking: light skin tone
🚵🏻‍♂	1F6B5 1F3FB 200D 2642	minimally-qualified	E4.0	man mountain biking: light skin tone
🚵🏼‍♂️	1F6B5 1F3FC 200D 2642 FE0F	fully-qualified	E4.0	man mountain biking: medium-light skin tone
🚵🏼‍♂	1F6B5 1F3FC 200D 2642	minimally-qualified	E4.0	man mountain biking: medium-light skin tone
🚵🏽‍♂️	1F6B5 1F3FD 200D 2642 FE0F	fully-qualified	E4.0	man mountain biking: medium skin tone
🚵🏽‍♂	1F6B5 1F3FD 200D 2642	minimally-qualified	E4.0	man mountain biking: medium skin tone
🚵🏾‍♂️	1F6B5 1F3FE 200D 2642 FE0F	fully-qualified	E4.0	man mountain biking: medium-dark skin tone
🚵🏾‍♂	1F6B5 1F3FE 200D 2642	minimally-qualified	E4.0	man mountain biking: medium-dark skin tone
🚵🏿‍♂️	1F6B5 1F3FF 200D 2642 FE0F	fully-qualified	E4.0	man mountain biking: dark skin tone
🚵🏿‍♂	1F6B5 1F3FF 200D 2642	minimally-qualified	E4.0	man mountain biking: dark skin tone
🚵‍♀️	1F6B5 200D 2640 FE0F	fully-qualified	E4.0	woman mountain biking
🚵‍♀	1F6B5 200D 2640	minimally-qualified	E4.0	woman mountain biking
🚵🏻‍♀️	1F6B5 1F3FB 200D 2640 FE0F	fully-qualified	E4.0	woman mountain biking: light skin tone
🚵🏻‍♀	1F6B5 1F3FB 200D 2640	minimally-qualified	E4.0	woman mountain biking: light skin tone
🚵🏼‍♀️	1F6B5 1F3FC 200D 2640 FE0F	fully-qualified	E4.0	woman mountain biking: medium-light skin tone
🚵🏼‍♀	1F6B5 1F3FC 200D 2640	minimally-qualified	E4.0	woman mountain biking: medium-light skin tone
🚵🏽‍♀️	1F6B5 1F3FD 200D 2640 FE0F	fully-qualified	E4.0	woman mountain biking: medium skin tone
🚵🏽‍♀	1F6B5 1F3FD 200D 2640	minimally-qualified	E4.0	woman mountain biking: medium skin tone
🚵🏾‍♀️	1F6B5 1F3FE 200D 2640 FE0F	fully-qualified	E4.0	woman mountain biking: medium-dark skin tone
🚵🏾‍♀	1F6B5 1F3FE 200D 2640	minimally-qualified	E4.0	woman mountain biking: medium-dark skin tone
🚵🏿‍♀️	1F6B5 1F3FF 200D 2640 FE0F	fully-qualified	E4.0	woman mountain biking: dark skin tone
🚵🏿‍♀	1F6B5 1F3FF 200D 2640	minimally-qualified	E4.0	woman mountain biking: dark skin tone
🤸	1F938	fully-qualified	E3.0	person cartwheeling
🤸🏻	1F938 1F3FB	fully-qualified	E3.0	person cartwheeling: light skin tone
🤸🏼	1F938 1F3FC	fully-qualified	E3.0	person cartwheeling: medium-light skin tone
🤸🏽	1F938 1F3FD	fully-qualified	E3.0	person cartwheeling: medium skin tone
🤸🏾	1F938 1F3FE	fully-qualified	E3.0	person cartwheeling: medium-dark skin tone
🤸🏿	1F938 1F3FF	fully-qualified	E3.0	person cartwheeling: dark skin tone
🤸‍♂️	1F938 200D 2642 FE0F	fully-qualified	E4.0	man cartwheeling
🤸‍♂	1F938 200D 2642	minimally-qualified	E4.0	man cartwheeling
🤸🏻‍♂️	1F938 1F3FB 200D 2642 FE0F	fully-qualified	E4.0	man cartwheeling: light skin tone
🤸🏻‍♂	1F938 1F3FB 200D 2642	minimally-qualified	E4.0	man cartwheeling: light skin tone
🤸🏼‍♂️	1F938 1F3FC 200D 2642 FE0F	fully-qualified	E4.0	man cartwheeling: medium-light skin tone
🤸🏼‍♂	1F938 1F3FC 200D 2642	minimally-qualified	E4.0	man cartwheeling: medium-light skin tone
🤸🏽‍♂️	1F938 1F3FD 200D 2642 FE0F	fully-qualified	E4.0	man cartwheeling: medium skin tone
🤸🏽‍♂	1F938 1F3FD 200D 2642	minimally-qualified	E4.0	man cartwheeling: medium skin tone
🤸🏾‍♂️	1F938 1F3FE 200D 2642 FE0F	fully-qualified	E4.0	man cartwheeling: medium-dark skin tone
🤸🏾‍♂	1F938 1F3FE 200D 2642	minimally-qualified	E4.0	man cartwheeling: medium-dark skin tone
🤸🏿‍♂️	1F938 1F3FF 200D 2642 FE0F	fully-qualified	E4.0	man cartwheeling: dark skin tone
🤸🏿‍♂	1F938 1F3FF 200D 2642	minimally-qualified	E4.0	man cartwheeling: dark skin tone
🤸‍♀️	1F938 200D 2640 FE0F	fully-qualified	E4.0	woman cartwheeling
🤸‍♀	1F938 200D 2640	minimally-qualified	E4.0	woman cartwheeling
🤸🏻‍♀️	1F938 1F3FB 200D 2640 FE0F	fully-qualified	E4.0	woman cartwheeling: light skin tone
🤸🏻‍♀	1F938 1F3FB 200D 2640	minimally-qualified	E4.0	woman cartwheeling: light skin tone
🤸🏼‍♀️	1F938 1F3FC 200D 2640 FE0F	fully-qualified	E4.0	woman cartwheeling: medium-light skin tone
🤸🏼‍♀	1F938 1F3FC 200D 2640	minimally-qualified	E4.0	woman cartwheeling: medium-light skin tone
🤸🏽‍♀️	1F938 1F3FD 200D 2640 FE0F	fully-qualified	E4.0	woman cartwheeling: medium skin tone
🤸🏽‍♀	1F938 1F3FD 200D 2640	minimally-qualified	E4.0	woman cartwheeling: medium skin tone
🤸🏾‍♀️	1F938 1F3FE 200D 2640 FE0F	fully-qualified	E4.0	woman cartwheeling: medium-dark skin tone
🤸🏾‍♀	1F938 1F3FE 200D 2640	minimally-qualified	E4.0	woman cartwheeling: medium-dark skin tone
🤸🏿‍♀️	1F938 1F3FF 200D 2640 FE0F	fully-qualified	E4.0	woman cartwheeling: dark skin tone
🤸🏿‍♀	1F938 1F3FF 200D 2640	minimally-qualified	E4.0	woman cartwheeling: dark skin tone
🤼	1F93C	fully-qualified	E3.0	people wrestling
🤼🏻	1F93C 1F3FB	fully-qualified	E17.0	people wrestling: light skin tone
🤼🏼	1F93C 1F3FC	fully-qualified	E17.0	people wrestling: medium-light skin tone
🤼🏽	1F93C 1F3FD	fully-qualified	E17.0	people wrestling: medium skin tone
🤼🏾	1F93C 1F3FE	fully-qualified	E17.0	people wrestling: medium-dark skin tone
🤼🏿	1F93C 1F3FF	fully-qualified	E17.0	people wrestling: dark skin tone
🤼‍♂️	1F93C 200D 2642 FE0F	fully-qualified	E4.0	men wrestling
🤼‍♂	1F93C 200D 2642	minimally-qualified	E4.0	men wrestling
🤼🏻‍♂️	1F93C 1F3FB 200D 2642 FE0F	fully-qualified	E17.0	men wrestling: light skin tone
🤼🏻‍♂	1F93C 1F3FB 200D 2642	minimally-qualified	E17.0	men wrestling: light skin tone
🤼🏼‍♂️	1F93C 1F3FC 200D 2642 FE0F	fully-qualified	E17.0	men wrestling: medium-light skin tone
🤼🏼‍♂	1F93C 1F3FC 200D 2642	minimally-qualified	E17.0	men wrestling: medium-light skin tone
🤼🏽‍♂️	1F93C 1F3FD 200D 2642 FE0F	fully-qualified	E17.0	men wrestling: medium skin tone
🤼🏽‍♂	1F93C 1F3FD 200D 2642	minimally-qualified	E17.0	men wrestling: medium skin tone
🤼🏾‍♂️	1F93C 1F3FE 200D 2642 FE0F	fully-qualified	E17.0	men wrestling: medium-dark skin tone
🤼🏾‍♂	1F93C 1F3FE 200D 2642	minimally-qualified	E17.0	men wrestling: medium-dark skin tone
🤼🏿‍♂️	1F93C 1F3FF 200D 2642 FE0F	fully-qualified	E17.0	men wrestling: dark skin tone
🤼🏿‍♂	1F93C 1F3FF 200D 2642	minimally-qualified	E17.0	men wrestling: dark skin tone
